Package,Built
network,3.3.0
nlme,3.3.3
nloptr,3.3.0
NMF,3.3.0
nnet,3.3.3
np,3.3.3
numDeriv,3.3.0
openssl,3.3.2
packagedocs,3.3.0
packrat,3.3.0
parallel,3.3.3
pbkrtest,3.3.2
pcaPP,3.3.3
pillar,3.3.3
pkgconfig,3.3.2
pkgKitten,3.3.2
pkgmaker,3.3.0
PKI,3.3.2
plm,3.3.2
plogr,3.3.0
pls,3.3.2
plyr,3.3.0
polyclip,3.3.2
pracma,3.3.2
praise,3.3.0
prettyunits,3.3.0
ProDenICA,3.3.0
profvis,3.3.2
progress,3.3.2
psych,3.3.3
purrr,3.3.2
quadprog,3.3.0
quantreg,3.3.2
R6,3.3.2
RandomFields,3.3.2
RandomFieldsUtils,3.3.2
rbenchmark,3.3.0
RColorBrewer,3.3.0
Rcpp,3.3.3
RcppArmadillo,3.3.2
RcppEigen,3.3.2
RcppParallel,3.3.0
RCurl,3.3.2
readr,3.3.2
readxl,3.3.2
registry,3.3.2
rematch,3.3.0
rematch2,3.3.2
repr,3.3.2
reprex,3.3.3
reshape,3.3.2
reshape2,3.3.2
rex,3.3.2
Rglpk,3.3.2
rJava,3.3.2
RJSONIO,3.3.0
rlang,3.3.2
rmarkdown,3.3.2
Rmpfr,3.3.2
rngtools,3.3.0
robustbase,3.3.2
roxygen2,3.3.2
rpanel,3.3.0
rpart,3.3.3
rprojroot,3.3.2
rsconnect,3.3.2
rstan,3.3.3
rstudioapi,3.3.2
RUnit,3.3.0
rvest,3.3.0
sandwich,3.3.2
scagnostics,3.3.0
scales,3.3.2
selectr,3.3.2
sfsmisc,3.3.2
shiny,3.3.2
shinyjs,3.3.2
shinystan,3.3.2
shinythemes,3.3.0
slam,3.3.2
sm,3.3.0
sna,3.3.0
som,3.3.0
sourcetools,3.3.2
sp,3.3.3
spam,3.3.2
SparseM,3.3.2
spatial,3.3.3
spatstat,3.3.2
spatstat.data,3.3.2
spatstat.utils,3.3.2
spData,3.3.2
spdep,3.3.2
sphet,3.3.0
splines,3.3.3
splm,3.3.2
StanHeaders,3.3.3
statnet.common,3.3.2
stats,3.3.3
stats4,3.3.3
stringi,3.3.2
stringr,3.3.3
styler,3.3.2
survey,3.3.3
survival,3.3.2
svglite,3.3.2
tcltk,3.3.3
tensor,3.3.0
testthat,3.3.2
TH.data,3.3.2
threejs,3.3.2
tibble,3.3.3
tidyr,3.3.2
tidyselect,3.3.2
tidyverse,3.3.3
tkrplot,3.3.0
tools,3.3.3
truncnorm,3.3.0
twang,3.3.2
usethis,3.3.3
utf8,3.3.2
utils,3.3.3
uuid,3.3.0
viridis,3.3.2
viridisLite,3.3.2
whisker,3.3.0
withr,3.3.2
xml2,3.3.2
xtable,3.3.0
xts,3.3.2
yaml,3.3.2
zoo,3.3.2
